"Planet_key":"planet":"STAR_CODE":"relative mass":"Relative Density":"RADIUS (EARTH)":"Type Of Terrain":"Climate Type"
1:"Cosmoth Harpian":8081:2,47:1,137:1,3:"rocky desert":"frigid; artificial temperate; artic; frozen"
2:"Eonix Eta":1445:1:1,219:0,94:"volcano":"temperate; tropical; arid; frozen; artic"
3:"Eonix Upsilon":1445:2,36:1,077:1,3:"sea; lakes; forest; cliff":"temperate; humid; tropical"
4:"Nocturnal Silence VIII":460:1,32:Unknown:1,1:"forest":"rocky; temperate"
5:"Pollux Tritonian":2028:6,58:1,075:1,83:"lava river; cliff":"arid"
6:"Sheliak Theta":241:5,98:1,399:1,62:"glacier; acid pool":"superheated; artic; temperate; arid"
7:"Sheliak Tau":241:2,82:1,014:1,41:"reef; hill; valley":"rocky; temperate"
8:"Sheliak Zeta":241:8,12:0,827:2,14:"savanna":"frozen; tropical; artificial temperate; rocky"
9:"Ronin's Enigma Hermian":4308:4,69:0,984:1,68:"acid pool":"hot; tropical; windy"
10:"Vesperian Whimsy Olympus":3226:5,49:0,377:2,44:"cityscape; mountain; verdant":"superheated; windy; frigid; rocky; artificial temperate"
11:"Etherios Qi":4759:2,29:0,774:1,44:"savanna; grassy hill":"rocky; temperate"
12:"Quasar Nova Mu":9559:1,04:0,984:1,02:"cave; canyons":"temperate; hot"
13:"Mesarthim Duodecimal":7716:1,82:0,811:1,31:"plain; rocky canyon; canyons":"artificial temperate; windy; arid; humid"
14:"Intan Poseidian":6484:9,23:1,401:1,87:"plain":"tropical; arid"
15:"Bonsai Gaze Delta":7238:8,03:1,345:1,81:"ocean; rocky canyon; savanna":"temperate; rocky"
16:"Bonsai Gaze Alpha":7238:5,2:1,194:1,63:"bog":"artificial temperate; humid"
17:"Alkarab XXIV":4058:4,48:0,927:1,69:"jungle; lakes; plain; glacier; cave; bog; ice canyon":"hot; frigid; humid; rocky; arid; artificial temperate"
18:"Alkarab XII":4058:6,95:0,667:2,18:"city; hill":"artificial temperate"
19:"Alkarab XXIII":4058:8,1:0,836:2,13:"rocky canyon":"frozen; temperate; humid; frigid; windy"
20:"Inazuma Shadows Herculean":3823:0,63:1,014:0,85:"rainforest; valley; lakes; reef; ocean; verdant":"superheated; frozen; tropical; subartic"
21:"Thunderpeak Lambda":2208:0,9:0,99:0,97:"fungus forest; swamp; rock arche":"tropical; arid"
22:"Imai XXI":9035:4,04:0,857:1,68:"lava river; fungus forest; barren; tundra; canyons":"artic; artificial temperate; hot; arid; temperate; superheated"
23:"Imai XX":9035:0,92:1,158:0,93:"mountain":"windy; tropical"
24:"Eldritch Veil VI":416:1,48:0,54:1,4:"desert; jungle; cityscape; mountain":"frigid; frozen; hot; humid; windy; rocky"
25:"Eldritch Veil XXII":416:1,25:1,032:1,07:"rainforest; ice canyon; rocky island":"humid; artificial temperate; temperate; arid; subartic; artic"
26:"Thunderhoof Orphean":5366:2,03:0,701:1,43:"jungle; lakes":"subartic; frozen; windy; rocky; frigid; artic; humid"
27:"Sylvari Chimeraean":1863:0,64:0,805:0,93:"vine; lava river; rocky desert; reef":"subartic; artic; temperate; superheated; arid; artificial temperate"
28:"Fuji Nebula XXI":4688:1,74:1,142:1,15:"ash":"windy; hot; tropical"
29:"Sika Pi":7270:7,98:0,646:2,31:"city; plain":"artificial temperate; tropical"
